Dive,Province,Total,Infested,Rate
CHR0188,South-Central,23,1,4.347826087
CHR0191,South-Central,1,0,0
CHR0192,South-Central,1,0,0
CHR0197,Central,160,103,64.375
CHR0198,Central,5,3,60
CHR0199,Central,28,22,78.57142857
CHR0201,South-Central,16,7,43.75
CHR0202,South-Central,24,1,4.166666667
CHR0203,South-Central,12,1,8.333333333
CHR0207,South-Central,10,0,0
CHR0214,South,4,0,0
CHR0224,South,3,0,0
CHR0227,South-Central,2,0,0
CHR0254,Central,9,0,0
CHR0259,North-Central,7,0,0
CHR0260,North-Central,2,0,0
CHR0265,Central,16,1,6.25
CHR0267,Central,1,0,0
CHR0268,Central,1,0,0
CHR0269,North-Central,18,14,77.77777778
CHR0275,North-Central,5,4,80
CHR0277,North-Central,8,0,0
CHR0281,North-Central,8,0,0
CHR0285,North,2,0,0
CHR0291,North,1,0,0
CHR0294,North,1,1,100